id|faction_id|name|legend|description|detachment|
000009519|CSM|Dark Purpose|Once they have set themselves to the task of conquest, warriors such as these neither hesitate nor turn aside.|Each time a <span class="kwb">HERETIC</span> <span class="kwb">ASTARTES</span> unit from your army <span class="tooltip00015" data-tooltip-content="#tooltip_content00015"><span class="tt kwbu">Consolidates</span></span>, if it is not within <a href="/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units, then until the end of the phase, each time a model in that unit makes a <span class="tooltip00015" data-tooltip-content="#tooltip_content00015"><span class="tt kwbu">Consolidation</span> <span class="tt kwbu">move</span></span>, it can move towards the closest <a href="/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers">objective marker</a>, but only if, after all models have done so, that unit is within range of that objective marker and in <span class="tooltip00104" data-tooltip-content="#tooltip_content00104"><span class="tt kwbu">Unit</span> <span class="tt kwbu">Coherency</span></span>.|Champions of Chaos|
000009772|CSM|Experimental Augmentations|Bile’s creations, the Terata, possess a variety of mutations, all of which increase their transhuman lethality – for now.|At the start of the battle, select which augmentations are active for <span class="tooltip00155" data-tooltip-content="#tooltip_content00155" data-tooltip-anchor="#tooltip_content00155"><span class="kwb kwbu">HERETIC</span> <span class="kwb kwbu">ASTARTES</span> <span class="kwb kwbu">INFANTRY</span></span> models (excluding <span class="tooltip00271" data-tooltip-content="#tooltip_content00271" data-tooltip-anchor="#tooltip_content00271"><span class="kwb kwbu">DAMNED</span></span> models) from your army until the end of the battle. To do so, either select one from the list below, or randomly determine two by rolling two D6. If <a class="kwbOne" href="/wh40k10ed/factions/chaos-space-marines/Fabius-Bile"><span class="kwb kwbo">FABIUS</span> <span class="kwb kwbo">BILE</span></a> is your <span class="kwb">WARLORD</span>, when randomly determining your augmentations, you can re-roll one or both of the dice. Duplicated augmentations have no additional effect.<br><br><div class="BreakInsideAvoid"  style="""><table width="0" border="0" bordercolor="#888" cellpadding="4" cellspacing="0" style="border-collapse:collapse;border-width:0px"><tbody><tr><td><table class=" customTable tablefont" border="1" bordercolor="#888" cellpadding="4" style="border-collapse:collapse;border-color:#888888;border-width:0px"><tbody><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d1.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Cholinergic Accelerants:</b> Add 1 to the Attacks characteristic of melee weapons equipped by this model.</td></tr><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d2.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Hyperadrenal Infusion:</b> Add 2" to the Move characteristic of this model.</td></tr><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d3.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Paraneural Reactions:</b> Improve the Weapon Skill characteristic of melee weapons equipped by this model by 1.</td></tr><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d4.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Supracutaneous Chitination:</b> Improve the Toughness characteristic of this model by 1.</td></tr><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d5.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Macrotensile Sinews:</b> Add 1 to the Strength characteristic of melee weapons equipped by this model.</td></tr><tr><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:80px;height:0px;"><img src="/wh40k10ed/img/d6.png"></td><td style="border-width:1px 1px 1px 1px;border-style:none none none none;text-align:left;vertical-align:middle;font-size:18px;width:400px;height:0px;"><b>Ophthalmic Enhancement:</b> Improve the Ballistic Skill characteristic of ranged weapons equipped by this model by 1.</td></tr></tbody></table></td></tr></tbody></table></div>|Creations of Bile|
000008398|DG|Spread the Sickness|To the Death Guard, spreading Nurgle’s gifts goes beyond the beings they fight – even the landscapes they tread upon they seek to corrupt, cultivating Nurgle’s garden as widely as possible.|During the Declare Battle Formations step, select one of the Sicknesses below. Until the end of the battle, all units from your army with the Nurgle’s Gift ability gain the selected Sickness.<br><ul><li><b>Skullsquirm Blight (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Ballistic Skill and Weapon Skill characteristics of weapons equipped by models in that enemy unit by 1.</li><li><b>Rattlejoint Ague (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Save characteristic of models in that enemy unit by 1.</li><li><b>Scabrous Soulrot (Aura):</b> While an enemy unit is within Contagion Range of this unit, worsen the Leadership and Objective Control characteristics of models in that enemy unit by 1 (to a minimum of 1).</li></ul><br>If you control an <span class="tooltip00046" data-tooltip-content="#tooltip_content00046"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span> at the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a> and a <span class="kwb">DEATH</span> <span class="kwb">GUARD</span> unit from your army is within range of that objective marker, that objective marker is said to be Infected and remains under your control even if you have no models within range of it, until your opponent controls it at the start or end of any turn. In addition, while an objective marker is Infected and under your control, it has the <span class="tooltip00278" data-tooltip-content="#tooltip_content00278"><span class="tt kwbu">Nurgle’s</span> <span class="tt kwbu">Gift</span></span> ability as if it were a unit from your army (so enemy units within Contagion Range of it will have their characteristics modified).|Plague Company|
000009397|DG|Sevenfold Offerings|Seven by seven the enemy fall, reaped like blighted crops or rotted from within. Seven by seven their souls are offered up to the Lord of Pestilence.|For every seven enemy models that have been <span class="tooltip00080" data-tooltip-content="#tooltip_content00080"><span class="tt kwbu">destroyed</span></span>, add 2" to the <span class="tooltip00278" data-tooltip-content="#tooltip_content00278"><span class="tt kwbu">Contagion</span> <span class="tt kwbu">Range</span></span> of units from your army. Note that any increase to the Contagion Range of units from your army as a result of this rule does not take place while a unit from your army is attacking. In such an event, the increase will take effect after such a unit has finished making its attacks.|Vectors of Decay|
000009407|DG|Relentless Spread|Like a virus seeking fresh hosts, the unclean worshippers of the Plague God spill through the ships corridors on the hunt for untainted souls.|Each time a <span class="kwb">DEATH</span> <span class="kwb">GUARD</span> unit from your army makes a <span class="tooltip00015" data-tooltip-content="#tooltip_content00015"><span class="tt kwbu">Consolidation</span> <span class="tt kwbu">move</span></span>:<br><ul><li>It can move up to D3+3" instead of up to 3".</li><li>If it cannot end that move within <a href="/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units that are <a href="/wh40k10ed/the-rules/boarding-action-rules/#Visibility">visible</a> to it (and in <span class="tooltip00104" data-tooltip-content="#tooltip_content00104"><span class="tt kwbu">Unit</span> <span class="tt kwbu">Coherency</span></span>), it can still make that Consolidation move, and when doing so can move in any direction.</li></ul>|Unclean Uprising|
000009415|DG|Inescapable Corruption|The combined plague blessings of so many champions of the Plague God is universally contagious, a dreadful omnirot that infests flesh, metal and even the minds and souls of its victims.|Each time an enemy unit is selected to perform a <a href="/wh40k10ed/the-rules/boarding-action-rules/#Tactical-Manoeuvres">Tactical Manoeuvre</a>, if that unit is within <span class="tooltip00278" data-tooltip-content="#tooltip_content00278"><span class="tt kwbu">Contagion</span> <span class="tt kwbu">Range</span></span> of one or more units from your army, that enemy unit must take a <span class="tooltip00091" data-tooltip-content="#tooltip_content00091"><span class="tt kwbu">Leadership</span> <span class="tt kwbu">test</span></span>. If that test is failed, that Tactical Manoeuvre has no effect (that enemy unit is still eligible to shoot and <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a> this turn as <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">normal</span></span>).<br><br>In addition, in your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, roll one D6 for each <span class="tooltip00046" data-tooltip-content="#tooltip_content00046"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span> that is within Contagion Range of one or more units from your army and is <a href="/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS">Secured</a> by your opponent’s army: on a 5+, that objective marker is no longer Secured by your opponent’s army.|Arch-Contaminators|
000009728|DG|Verminous Haze|A cloud of winged insects descends over Mortarion’s pathogenic sons, obscuring their malodorous ranks and shielding them from the eyes and augurs of the enemy. Beneath thrumming storms of fat-bodied flies, Plague Marines stride towards their wavering foes until they are close enough to unleash punishing volleys of killing fire.|<span class="tooltip00167" data-tooltip-content="#tooltip_content00167" data-tooltip-anchor="#tooltip_content00167"><span class="kwb kwbu">DEATH</span> <span class="kwb kwbu">GUARD</span> <span class="kwb kwbu">INFANTRY</span></span> units from your army that are not <span class="tooltip00027" data-tooltip-content="#tooltip_content00027"><span class="tt kwbu">embarked</span></span> within a <span class="tooltip00279" data-tooltip-content="#tooltip_content00279" data-tooltip-anchor="#tooltip_content00279"><span class="kwb kwbu">TRANSPORT</span></span> have the <span class="tooltip00038" data-tooltip-content="#tooltip_content00038"><span class="tt kwbu">Scouts</span> <span class="tt kwbu">5"</span></span> and <span class="tooltip00096" data-tooltip-content="#tooltip_content00096"><span class="tt kwbu">Stealth</span></span> abilities.|Flyblown Host|
000008509|DRU|Realspace Raiders|The three factions of the Drukhari are constantly vying for supremacy, each convinced beyond doubt of their own innate superiority. This struggle manifests during their realspace raids as a frenzy of murderously sadistic competition.|At the start of the battle, you gain an additional 1 <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span> for each of the following your army contains:<br><ul><li>One or more <a class="kwbOne" href="/wh40k10ed/factions/drukhari/Archon"><span class="kwb kwbo">ARCHON</span></a> models</li><li>One or more <span class="tooltip00389" data-tooltip-content="#tooltip_content00389" data-tooltip-anchor="#tooltip_content00389"><span class="kwb kwbu">SUCCUBUS</span></span> models</li><li>One or more <span class="tooltip00388" data-tooltip-content="#tooltip_content00388" data-tooltip-anchor="#tooltip_content00388"><span class="kwb kwbu">HAEMONCULUS</span></span> models</li></ul><br><b>Designer’s Note:</b> <i>These are all cumulative, so if your army contains at least one Archon, at least one Succubus and at least one Haemonculus, you would start the battle with an additional 3 Pain tokens.</i>|Realspace Raiders|
000008714|DRU|Rain Of Cruelty|Few warriors in the galaxy are as adept at launching punishing skyborne raids as the Drukhari. Before their prey even realise the peril, the killers of Commorragh are amongst their lines like grinning ghouls. Splinter fire lays low defenders still scrambling into position.  Quicksilver assaults leave dozens screaming in maimed agony. Often, the battle is over before it has even truly begun. |Each time a <span class="kwb">DRUKHARI</span> unit from your army <span class="tooltip00084" data-tooltip-content="#tooltip_content00084"><span class="tt kwbu">disembarks</span></span> from a <span class="tooltip00170" data-tooltip-content="#tooltip_content00170" data-tooltip-anchor="#tooltip_content00170"><span class="kwb kwbu">TRANSPORT</span></span>, until the end of the turn, that unit’s ranged weapons have the <span class="kwb2 bluefont"><span class="tooltip00065" data-tooltip-content="#tooltip_content00065"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">COVER]</span></span></span> ability and that unit’s melee weapons have the <span class="kwb2 bluefont"><span class="tooltip00357" data-tooltip-content="#tooltip_content00357"><span class="tt kwbu">[LANCE]</span></span></span> ability.|Skysplinter Assault|
000009424|DRU|Commorrite Rivalries|Even in the midst of battle, the Drukhari indulge in politicking and factionalism, seeking to outdo their rivals and cover themselves in dark glory with every murderous triumph.|Each time a <span class="tooltip00493" data-tooltip-content="#tooltip_content00493" data-tooltip-anchor="#tooltip_content00493"><span class="kwb kwbu">DRUKHARI</span> <span class="kwb kwbu">CHARACTER</span></span> model from your army destroys an enemy <span class="kwb">CHARACTER</span> unit, you gain 1 <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span>. In addition, each time you use the <span class="tooltip00494" data-tooltip-content="#tooltip_content00494"><span class="tt kwbu">Battlefield</span> <span class="tt kwbu">Command</span></span> Stratagem, you can expend 1 Pain token from your Pain token pool. If you do, decrease that Stratagems cost by 1CP for that usage.|Space Lane Raiders|
000009432|DRU|Raid and Pillage|These warriors reap a bounty of both material plunder and precious pain during their raids, leaving only shattered storage reliquaries and the twisted bodies of tortured victims in their wake.|Each time a <span class="tooltip00386" data-tooltip-content="#tooltip_content00386" data-tooltip-anchor="#tooltip_content00386"><span class="kwb kwbu">DRUKHARI</span></span> unit from your army destroys an enemy unit, if that enemy unit was within range of an objective marker controlled by your opponent at the start of the phase, you gain 1 <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span>. In addition, in your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, you can select one <a href="/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers">objective marker</a> you control that has one or more <span class="tooltip00495" data-tooltip-content="#tooltip_content00495" data-tooltip-anchor="#tooltip_content00495"><span class="kwb kwbu">KABAL</span></span> units from your army within range of it, then expend 1 Pain token from your Pain token pool. If you do, that objective marker is <a href="/wh40k10ed/the-rules/boarding-action-rules/#SEIZING-AND-SECURING-OBJECTIVE-MARKERS">Secured</a> by your army.|Kabalite Corsairs|
000009440|DRU|Appetite for Adulation|Thriving upon the praise their sadistic deeds will earn from their twisted audience, the Wyches fight all the harder and inflict ever-more excessive torments upon their victims.|In the <a href="/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase">Fight phase</a>, if two or more enemy units were <span class="tooltip00080" data-tooltip-content="#tooltip_content00080"><span class="tt kwbu">destroyed</span></span> by <span class="tooltip00386" data-tooltip-content="#tooltip_content00386" data-tooltip-anchor="#tooltip_content00386"><span class="kwb kwbu">DRUKHARI</span></span> units from your army that phase, you gain 1 <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span>. In addition, each time a <span class="tooltip00496" data-tooltip-content="#tooltip_content00496" data-tooltip-anchor="#tooltip_content00496"><span class="kwb kwbu">WYCH</span> <span class="kwb kwbu">CULT</span></span> unit from your army becomes <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Empowered</span></span> in the Fight phase, until the end of the phase, melee weapons equipped by models in that unit have the <span class="kwb2 bluefont"><span class="tooltip00040" data-tooltip-content="#tooltip_content00040"><span class="tt kwbu">[ANTi-iNFANTRY</span> <span class="tt kwbu">4+]</span></span></span> ability.|Ship-killer Cult|
000009449|DRU|Regenerative Agony|The twisted physiologies of the Haemonculus fleshcrafters’ creations are inured to all but the most terrible injuries. The greater and more terrible the agonies inflicted upon their hideous forms, the more formidable their regenerative abilities become.|Each time four or more <span class="tooltip00073" data-tooltip-content="#tooltip_content00073"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span></span> rolls are successful for <span class="tooltip00497" data-tooltip-content="#tooltip_content00497" data-tooltip-anchor="#tooltip_content00497"><span class="kwb kwbu">HAEMONCULUS</span> <span class="kwb kwbu">COVENS</span></span> models from your army in a single phase, you gain 1 <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Pain</span> <span class="tt kwbu">token</span></span>. In addition, each <a href="/wh40k10ed/the-rules/core-rules/#The-Battle-Round">battle round</a>, the first time a <span class="kwb">HAEMONCULUS</span> <span class="kwb">COVENS</span> unit from your army becomes <span class="tooltip00253" data-tooltip-content="#tooltip_content00253"><span class="tt kwbu">Empowered</span></span> in that battle round, roll one D6: on a 2-5, one model in that unit regains 1 lost wound or, if that unit has the <a class="kwbOne" href="/wh40k10ed/factions/drukhari/Wracks"><span class="kwb kwbo">WRACKS</span></a> keyword, one <span class="tooltip00080" data-tooltip-content="#tooltip_content00080"><span class="tt kwbu">destroyed</span></span> model is returned to it with its full wounds remaining; on a 6, one model in that unit regains up to 2 lost wounds or, if that unit has the <span class="kwb">WRACKS</span> keyword, one destroyed model is returned to it with its full wounds remaining.|Painbringers|
000009780|DRU|Callous Competition|In this saedath, the Harlequins embody the Reaper, whilst their Drukhari companions are mortal killers.|At the start of the battle, <span class="tooltip00386" data-tooltip-content="#tooltip_content00386" data-tooltip-anchor="#tooltip_content00386"><span class="kwb kwbu">DRUKHARI</span></span> units from your army are winning the wager.<br><br>Each time a <span class="kwb">DRUKHARI</span> unit from your army destroys an enemy unit, <span class="kwb">DRUKHARI</span> units from your army are winning the wager.<br><br>Each time a <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">HARLEQUINS</s></span> unit from your army destroys an enemy unit, <span class="kwb">HARLEQUIN</span> units from your army are winning the wager.<br><br>While <span class="kwb">DRUKHARI</span> units from your army are winning the wager, <span class="kwb">HARLEQUIN</span> units from your army are losing the wager, and vice versa.<br><br>Each time a <span class="kwb">DRUKHARI</span> or <span class="kwb">HARLEQUINS</span> model from your army makes an attack, if that model’s unit is losing the wager, re-roll a <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span> of 1 and re-roll a <span class="tooltip00023" data-tooltip-content="#tooltip_content00023"><span class="tt kwbu">Wound</span> <span class="tt kwbu">roll</span></span> of 1.<br><br><span class="hi_custom">HARLEQUINS</span><br>You can include <span class="tooltip" title="Keyword does not appear in that faction."><s class="kwbs">HARLEQUINS</s></span> units in your army (see Index: <a href="/wh40k10ed/factions/aeldari">Aeldari</a>). The combined points cost of such units depends on your battle size:<br><ul><li><b>Incursion:</b> Up to 500 pts</li><li><b>Strike Force:</b> Up to 1000 pts</li><li><b>Onslaught:</b> Up to 1500 pts</li></ul><br>No <span class="kwb">HARLEQUINS</span> models from your army can be your <span class="kwb">WARLORD</span>.|Reaper’s Wager|
000009066|GC|A Perfect Ambush|The insidious broodkin of the cult lurk hidden within the shadows, tirelessly tracking their enemies as predatory beasts stalk their prey. Only when their position is perfect do they strike. Worming into the fight from hidden tunnels, ducts and sewers, they rise to engulf their victims in a hail of unexpected firepower and a flurry of stabbing blades and raking talons.|Each time a <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> unit from your army is set up on the battlefield as <a href="/wh40k10ed/the-rules/core-rules/#2.-Reinforcements">Reinforcements</a>, until the end of your next <a href="/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE">Fight phase</a>, weapons equipped by models in that unit have the <span class="kwb2 bluefont"><span class="tooltip00033" data-tooltip-content="#tooltip_content00033"><span class="tt kwbu">[SUSTAINED</span> <span class="tt kwbu">HITS</span> <span class="tt kwbu">1]</span></span></span> and <span class="kwb2 bluefont"><span class="tooltip00065" data-tooltip-content="#tooltip_content00065"><span class="tt kwbu">[IGNORES</span> <span class="tt kwbu">COVER]</span></span></span> abilities.|Host of Ascension|
000009070|GC|Unquestioning Fanaticism|Downtrodden by the oppressors for so long, a cult’s lowly broodkin are fanatically devoted to their leaders, for those hallowed individuals serve the Patriarchs will more directly. The masses draw upon energy reserves in their desire to heed their masters’ wishes, surging selflessly into the fray, ready to hurl themselves in harm’s way for the Patriarch’s chosen.|For each <span class="tooltip00498" data-tooltip-content="#tooltip_content00498" data-tooltip-anchor="#tooltip_content00498"><span class="kwb kwbu">ACOLYTE</span> <span class="kwb kwbu">HYBRIDS</span></span>, <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Hybrid-Metamorphs"><span class="kwb kwbo">HYBRID</span> <span class="kwb kwbo">METAMORPHS</span></a> and <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Neophyte-Hybrids"><span class="kwb kwbo">NEOPHYTE</span> <span class="kwb kwbo">HYBRIDS</span></a> unit from your army, while one or more <span class="tooltip00245" data-tooltip-content="#tooltip_content00245" data-tooltip-anchor="#tooltip_content00245"><span class="kwb kwbu">CHARACTER</span></span> models are leading that unit, you can re-roll <span class="tooltip00007" data-tooltip-content="#tooltip_content00007"><span class="tt kwbu">Advance</span></span> and <span class="tooltip00009" data-tooltip-content="#tooltip_content00009"><span class="tt kwbu">Charge</span> <span class="tt kwbu">rolls</span></span> made for it. If that <span class="kwb">CHARACTER</span> model is a <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Magus"><span class="kwb kwbo">MAGUS</span></a>, <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Primus"><span class="kwb kwbo">PRIMUS</span></a> or <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Acolyte-Iconward"><span class="kwb kwbo">ACOLYTE</span> <span class="kwb kwbo">ICONWARD</span></a>, that model has the <span class="tooltip00073" data-tooltip-content="#tooltip_content00073"><span class="tt kwbu">Feel</span> <span class="tt kwbu">No</span> <span class="tt kwbu">Pain</span> <span class="tt kwbu">3+</span></span> ability while leading that unit.|Xenocreed Congregation|
000009074|GC|Hypermorphic Fury|Little can assuage a Genestealer Cults least Human instincts, behaviours made even more ferocious under provocation. Stimulated by psionic pulses of the Broodmind or fuelled by alchemical concoctions delivered from alien grafts, impulses drive the blessed to acts of increased savagery.|Add 1 to <span class="tooltip00009" data-tooltip-content="#tooltip_content00009"><span class="tt kwbu">Charge</span> <span class="tt kwbu">rolls</span></span> made for <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Aberrants"><span class="kwb kwbo">ABERRANTS</span></a>, <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Biophagus"><span class="kwb kwbo">BIOPHAGUS</span></a> and <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Purestrain-Genestealers"><span class="kwb kwbo">PURESTRAIN</span> <span class="kwb kwbo">GENESTEALERS</span></a> units from your army. In addition, each time such a unit is selected to fight, if it made a <span class="tooltip00009" data-tooltip-content="#tooltip_content00009"><span class="tt kwbu">Charge</span> <span class="tt kwbu">move</span></span> this turn, until the end of the phase, add 1 to the Attacks characteristic of melee weapons equipped by models in that unit.|Biosanctic Broodsurge|
000009078|GC|Rapid Takeover|Whether forming loose clans of wandering nomads or militarised rapid-reaction corps, the cultists of Outlander Claws use their experience to launch assaults on prominent targets. Swiftly exploiting or rigging them with proximity charges, they can deny resources to the enemy without yoking themselves to a static defence.|While a <span class="tooltip00396" data-tooltip-content="#tooltip_content00396" data-tooltip-anchor="#tooltip_content00396"><span class="kwb kwbu">GENESTEALER</span> <span class="kwb kwbu">CULTS</span> <span class="kwb kwbu">MOUNTED</span></span> or <span class="tooltip00499" data-tooltip-content="#tooltip_content00499" data-tooltip-anchor="#tooltip_content00499"><span class="kwb kwbu">GENESTEALER</span> <span class="kwb kwbu">CULTS</span> <span class="kwb kwbu">VEHICLE</span></span> model from your army is not <span class="tooltip00021" data-tooltip-content="#tooltip_content00021"><span class="tt kwbu">Battle-shocked</span></span>, add 1 to its Objective Control characteristic. In addition, at the end of your <a href="/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE">Command phase</a>, if one or more <a class="kwbOne" href="/wh40k10ed/factions/genestealer-cults/Atalan-Jackals"><span class="kwb kwbo">ATALAN</span> <span class="kwb kwbo">JACKALS</span></a> units from your army are within range of an <span class="tooltip00046" data-tooltip-content="#tooltip_content00046"><span class="tt kwbu">objective</span> <span class="tt kwbu">marker</span></span> you control, that objective marker remains under your control until your opponent’s Level of Control over that objective marker is greater than yours at the end of a phase.|Outlander Claw|
000009082|GC|Integrated Tactics|Coordinating with their militant allies via stolen vox equipment or signalling with cult icons, the insidious broodkin engulfs the hated foe in overlapping fields of fire.|Each time an <span class="tooltip00500" data-tooltip-content="#tooltip_content00500" data-tooltip-anchor="#tooltip_content00500"><span class="kwb kwbu">ASTRA</span> <span class="kwb kwbu">MILITARUM</span></span> unit from your army (see below) is selected to shoot, you can select one enemy unit within 18" of and <a href="/wh40k10ed/the-rules/core-rules/#Determining-Visibility">visible</a> to that unit. If you do, until the end of the phase, models in that <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> unit can only target that enemy unit (and only if it is an eligible target) and that enemy unit is caught in overlapping fire. While an enemy unit is caught in overlapping fire, each time a <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> model from your army targets that enemy unit with a ranged attack, add 1 to the <span class="tooltip00011" data-tooltip-content="#tooltip_content00011"><span class="tt kwbu">Hit</span> <span class="tt kwbu">roll</span></span>. |Brood Brother Auxilia|
000009083|GC|BROOD BROTHERS||You can include <span class="tooltip00500" data-tooltip-content="#tooltip_content00500" data-tooltip-anchor="#tooltip_content00500"><span class="kwb kwbu">ASTRA</span> <span class="kwb kwbu">MILITARUM</span></span> units in your army, even though they do not have the <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> <a href="/wh40k10ed/the-rules/core-rules/#Keywords">Faction keyword</a>. The combined points cost of such units you can include in your army is:<br><ul><li>Incursion: Up to 500 pts</li><li>Strike Force: Up to 1000 pts</li><li>Onslaught: Up to 1500 pts</li></ul>A <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> model must be your <span class="kwb">WARLORD</span>, and <span class="kwb">ASTRA</span> <span class="kwb">MILITARUM</span> models from your army lose the <span class="tooltip00254" data-tooltip-content="#tooltip_content00254"><span class="tt kwbu">Voice</span> <span class="tt kwbu">of</span> <span class="tt kwbu">Command</span></span> ability if they have it. You cannot include units with any of the following <a href="/wh40k10ed/the-rules/rules-commentary/#Keywords">keywords</a> in your army using this rule: <span class="kwb">AIRCRAFT</span>; <span class="kwb">COMMISSAR</span>; <span class="kwb">EPIC</span> <span class="kwb">HERO</span>; <span class="kwb">MILITARUM</span> <span class="kwb">TEMPESTUS</span>; <span class="kwb">OGRYN</span>; <span class="kwb">RATLING</span>; <span class="kwb">TECH-PRIEST</span> <span class="kwb">ENGINSEER</span>; <span class="kwb">MINISTORUM</span> <span class="kwb">PRIEST</span>.|Brood Brother Auxilia|
000009459|GC|Harassing Fire|Focusing on hit-and-fade tactics to wear their enemies down, the guerrilla fighters of the cult hammer the foe with swift volleys before vanishing back behind closing hatches.|At the encl of your <a href="/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE">Shooting phase</a>, you can select one <span class="kwb">GENESTEALER</span> <span class="kwb">CULTS</span> unit from your army that is not within <a href="/wh40k10ed/the-rules/boarding-action-rules/#Engagement-Range">Engagement Range</a> of one or more enemy units. If you do, that unit can attempt to operate one <a href="/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways">open Hatchway</a> it is within 1" of (if there is one), and can then make a <span class="tooltip00006" data-tooltip-content="#tooltip_content00006"><span class="tt kwbu">Normal</span> <span class="tt kwbu">move</span></span> of up to 3" (regardless of whether it attempted to <a href="/wh40k10ed/the-rules/boarding-action-rules/#Open-Hatchways">operate a Hatchway</a> or not). Until the end of the turn, that unit is not eligible to <a href="/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE">declare a charge</a>.|Cult Unveiled|
